 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
17,0.03,0.038888888,0.038888889,0.037777779,0.035555556,0.048888889,0.145555554,0.022222223,0.047777778,0.073333334,0.037777777,0.059999999,0.098888891,0.056666667,0.074444444,0.062222221,0.035555555,0.035555555,0.022222223,0.373333335
18,0.018888889,0.025555556,0.046666667,0.061111111,0.042222222,0.06111111,0.038888889,0.056666666,0.078888887,0.072222222,0.062222221,0.069999998,0.237777773,0.104444448,0.155555557,0.034444445,0.196666662,0.489999995,0.467777789,0.043333333
19,0.056666667,0.046666665,0.052222222,0.095555555,0.02888889,0.02888889,0.077777782,0.022222223,0.047777778,0.274444439,0.10666667,0.058888891,0.023333333,0.034444445,0.04888889,0.301111102,0.047777778,0.022222223,0.306666672,0.045555556
20,0.032222222,0.027777778,0.042222222,0.063333333,0.03,0.048888888,0.037777779,0.034444445,0.054444445,0.044444446,0.123333331,0.131111113,0.195555554,0.081111111,0.057777778,0.191111114,0.034444445,0.05111111,0.063333333,0.078888889
21,0.03,0.053333334,0.042222221,0.04,0.032222222,0.090000002,0.046666669,0.188888893,0.277777778,0.043333334,0.022222223,0.161111113,0.068888889,0.052222222,0.087777779,0.04888889,0.174444439,0.063333334,0.334444433,0.055555556
22,0.025555556,0.030000001,0.051111111,0.053333333,0.146666668,0.075555555,0.076666668,0.032222222,0.062222222,0.248888887,0.047777777,0.023333333,0.141111109,0.022222223,0.046666667,0.034444445,0.022222223,0.159999997,0.057777777,0.179999993
23,0.03888889,0.062222222,0.044444444,0.053333333,0.026666666,0.038888889,0.064444445,0.022222223,0.156666672,0.166666664,0.09777778,0.066666666,0.033333334,0.208888885,0.142222224,0.06,0.181111114,0.326666668,0.049999999,0.102222221
24,0.049999999,0.05888889,0.056666665,0.066666665,0.053333335,0.06777778,0.09,0.113333333,0.192222224,0.078888889,0.190000009,0.055555556,0.042222223,0.304444447,0.324444444,0.095555557,0.128888886,0.086666666,0.495555565,0.091111109
25,0.048888888,0.043333333,0.047777778,0.076666668,0.043333334,0.065555556,0.102222223,0.116666665,0.066666666,0.103333335,0.200000005,0.187777784,0.06888889,0.146666668,0.193333331,0.197777782,0.158888886,0.214444436,0.328888886,0.318888904
26,0.046666666,0.038888889,0.053333335,0.035555555,0.047777779,0.078888888,0.053333333,0.03,0.141111113,0.074444447,0.062222221,0.086666666,0.273333326,0.058888891,0.260000006,0.056666667,0.246666662,0.035555555,0.053333333,0.085555555
27,0.051111111,0.065555557,0.031111112,0.04888889,0.093333334,0.045555556,0.07,0.241111107,0.114444442,0.366666675,0.308888903,0.04,0.418888889,0.412222207,0.25444445,0.493333325,0.424444444,0.083333332,0.137777779,0.054444443
28,0.043333333,0.027777778,0.027777778,0.037777777,0.113333337,0.032222222,0.071111109,0.154444445,0.366666663,0.214444444,0.323333345,0.404444456,0.084444445,0.13222222,0.133333331,0.317777779,0.148888888,0.19666666,0.574444443,0.409999989
29,0.035555555,0.048888888,0.057777778,0.113333333,0.143333331,0.12111111,0.108888887,0.125555559,0.084444442,0.244444449,0.050000001,0.516666666,0.341111101,0.346666675,0.133333335,0.102222219,0.083333334,0.30888889,0.668888897,0.393333338
30,0.043333333,0.034444444,0.094444443,0.082222223,0.123333337,0.16444445,0.13888889,0.130000003,0.291111112,0.223333329,0.13666667,0.188888885,0.328888893,0.173333333,0.355555564,0.568888873,0.481111109,0.384444457,0.372222217,0.322222234
